Trial	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	EndKey	Device	MkHash32	ColorHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes
0	CUED	0	225	225	5	1	204	56	78	84	114	1453091368	713084591	1398534559	1785427305	R		XR Controller	6CBED730	BC9E36AC		
1	CUED	1	0	45	1	9	146	56	78	84	114	1145102367	451116175	1051398139	1627270377	R		XR Controller	CB090948	BC9E36AC		
2	CUED	0	0	90	0	8	140	56	78	84	114	1673116976	1631631590	589404003	336393162	R		XR Controller	6CBED730	BC9E36AC		
3	UNCUED	1	315	-1	-1	-1	230	56	78	84	114	491978860	214362137	1460269906	1472422432	R		XR Controller	67DD8480	BC9E36AC		
4	UNCUED	1	135	90	0	8	130	56	78	84	114	954677891	219884705	1562196221	1589337111	G		XR Controller	67DD8480	083E616C		
5	UNCUED	1	135	90	0	8	155	56	78	84	114	753497734	762719639	395509094	939909451	R		XR Controller	67DD8480	BC9E36AC		
6	CUED	1	135	-1	-1	-1	51	56	78	84	114	1216160735	1484768910	974225429	168144349	G		XR Controller	CB090948	083E616C		
7	CUED	0	90	90	0	8	73	56	78	84	114	592812233	758049174	104074046	962366435	R		XR Controller	6CBED730	BC9E36AC		
8	UNCUED	1	45	-1	-1	-1	36	56	78	84	114	490407465	644549369	119994550	216964180	R		XR Controller	67DD8480	BC9E36AC		
9	CUED	1	45	-1	-1	-1	35	56	78	84	114	2140287026	976958018	1812654606	1768420827	G		XR Controller	CB090948	083E616C		
10	UNCUED	0	270	-1	-1	-1	32	56	78	84	114	371253923	1735327289	760532638	364837998	R		XR Controller	F088AE08	BC9E36AC		
11	UNCUED	1	270	-1	-1	-1	49	56	78	84	114	1348707853	500088764	1321107041	1869049313	R		XR Controller	67DD8480	BC9E36AC		
12	CUED	1	225	-1	-1	-1	39	56	78	84	114	1063327331	1596162942	718265741	1920228240	G		XR Controller	CB090948	083E616C		
13	CUED	0	45	-1	-1	-1	38	56	78	84	114	856135425	942181323	1121030	1990346671	G		XR Controller	6CBED730	083E616C		
14	CUED	1	90	90	0	8	128	56	78	84	114	99325771	1715724647	793098877	115991219	G		XR Controller	CB090948	083E616C		
15	UNCUED	1	180	-1	-1	-1	26	56	78	84	114	602411856	2076489023	141366150	2070673484	R		XR Controller	67DD8480	BC9E36AC		
16	CUED	0	315	-1	-1	-1	28	56	78	84	114	86234351	1336281771	527394566	318292775	G		XR Controller	6CBED730	083E616C		
17	CUED	1	90	-1	-1	-1	131	56	78	84	114	1257513503	1841877354	1185946380	1748787360	R		XR Controller	CB090948	BC9E36AC		
18	UNCUED	1	180	-1	-1	-1	-1	56	78	84	114	1185492491	1265116570	2141387704	342739221	G	ABORT	OnApplicationQuit	00000000	00000000		
