Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	SwapType	EndKey	Device	MkHash32	ColorHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes
0	Dots50Swap	UNCUED	0	135	90	0	8	149	56	78	84	114	360077997	653722419	386553581	343333217	R	D		XR Controller	1CE20318	D797592C		
1	Dots50Swap	CUED	0	180	225	5	1	133	56	78	84	114	70552320	1105591280	932532899	869184776	R	D		XR Controller	CEA60E30	D797592C		
2	Dots50Swap	UNCUED	1	225	90	0	8	125	56	78	84	114	979830224	1131181894	169148461	214065804	G	N		XR Controller	67DD8480	083E616C		
3	Dots50Swap	CUED	0	270	270	4	2	105	56	78	84	114	520058699	2120716332	123330429	571537346	G	N		XR Controller	6CBED730	083E616C		
4	Dots50Swap	UNCUED	1	90	135	7	7	103	56	78	84	114	466522479	1997205427	1302111264	872305349	G	N		XR Controller	67DD8480	083E616C		
5	Dots50Swap	CUED	1	315	270	4	2	105	56	78	84	114	873727976	664267294	1360526369	825493068	R	D		XR Controller	7BBB5D28	D797592C		
6	Dots50Swap	CUED	0	315	315	3	3	114	56	78	84	114	921880645	2026121880	2080416273	1175744221	R	N		XR Controller	6CBED730	BC9E36AC		
7	Dots50Swap	UNCUED	0	225	225	5	1	107	56	78	84	114	402855849	797564997	178587311	612033943	G	D		XR Controller	1CE20318	03DC50EC		
8	Dots50Swap	CUED	0	90	90	0	8	92	56	78	84	114	1377634740	498536684	1166947684	440220062	G	N		XR Controller	6CBED730	083E616C		
9	Dots50Swap	UNCUED	0	180	135	7	7	164	56	78	84	114	1156743380	1565755458	959575275	143595146	R	N		XR Controller	F088AE08	BC9E36AC		
10	Dots50Swap	CUED	1	135	135	7	7	105	56	78	84	114	855058036	708950608	1107440553	2096727138	G	D		XR Controller	7BBB5D28	03DC50EC		
11	Dots50Swap	UNCUED	1	180	90	0	8	102	56	78	84	114	462621886	1915299620	2006041274	1379991354	R	D		XR Controller	E039A330	D797592C		
12	Dots50Swap	UNCUED	1	45	180	6	4	114	56	78	84	114	1293056894	2146589597	363015932	1076887536	G	D		XR Controller	E039A330	03DC50EC		
13	Dots50Swap	UNCUED	0	270	270	4	2	100	56	78	84	114	399726972	2014986891	1777302160	1812540536	G	D		XR Controller	1CE20318	03DC50EC		
14	Dots50Swap	CUED	0	0	315	3	3	206	56	78	84	114	1251793522	352978002	248837944	1798033916	G	D		XR Controller	CEA60E30	03DC50EC		
15	Dots50Swap	CUED	1	180	180	6	4	212	56	78	84	114	1196357134	644405911	1435669050	1673434081	R	D		XR Controller	7BBB5D28	D797592C		
16	Dots50Swap	UNCUED	1	180	0	2	6	139	56	78	84	114	1285993690	497077002	2071299887	146279788	G	D		XR Controller	E039A330	03DC50EC		
17	Dots50Swap	UNCUED	0	135	135	7	7	106	56	78	84	114	2115670552	1835695209	333737292	1768685754	G	N		XR Controller	F088AE08	083E616C		
18	Dots50Swap	UNCUED	1	270	45	1	9	105	56	78	84	114	1736712309	1394007331	475733102	136933782	R	N		XR Controller	67DD8480	BC9E36AC		
19	Dots50Swap	UNCUED	0	270	270	4	2	86	56	78	84	114	1772188210	356292001	1040316593	118780867	G	N		XR Controller	F088AE08	083E616C		
20	Dots50Swap	CUED	0	225	270	4	2	89	56	78	84	114	592259240	1647645973	1760075596	247637	G	N		XR Controller	6CBED730	083E616C		
21	Dots50Swap	CUED	1	90	135	7	7	110	56	78	84	114	186895499	1971582475	1041420840	1481136539	G	N		XR Controller	CB090948	083E616C		
