Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	DepthBothPlanes	UNCUED	0	0	45	1	9	154	56	78	84	114	274200517	2128128343	47570932	102398621	R	N	N		XR Controller	F088AE08	BC9E36AC	97C666DC			
1	DepthBothPlanes	CUED	0	180	45	1	9	221	56	78	84	114	1387493676	1840593553	558891754	1901016382	R	F	N		XR Controller	6CBED730	BC9E36AC	888B2CCC			
2	DepthBothPlanes	UNCUED	1	45	45	1	9	91	56	78	84	114	1460578257	1922264630	1135831739	1652174687	G	N	N		XR Controller	67DD8480	083E616C	97C666DC			
3	DepthBothPlanes	CUED	1	270	270	4	2	87	56	78	84	114	1995273947	2073084841	963688862	824613883	R	N	N		XR Controller	CB090948	BC9E36AC	97C666DC			
4	DepthBothPlanes	UNCUED	1	180	90	0	8	86	56	78	84	114	1302540777	962851790	624716137	486852831	G	F	N		XR Controller	67DD8480	083E616C	888B2CCC			
5	DepthBothPlanes	CUED	0	315	0	2	6	164	56	78	84	114	347687538	193521653	1079515885	1321934353	G	N	N		XR Controller	6CBED730	083E616C	97C666DC			
6	DepthBothPlanes	UNCUED	1	180	0	2	6	100	56	78	84	114	2024840862	91169406	876290412	696431659	R	F	N		XR Controller	67DD8480	BC9E36AC	888B2CCC			
7	DepthBothPlanes	UNCUED	0	270	45	1	9	92	56	78	84	114	1563900907	635427804	1010501011	883786876	R	F	N		XR Controller	F088AE08	BC9E36AC	888B2CCC			
8	DepthBothPlanes	CUED	0	90	270	4	2	108	56	78	84	114	792650395	785627781	1610210150	854479098	G	N	N		XR Controller	6CBED730	083E616C	97C666DC			
9	DepthBothPlanes	CUED	0	225	225	5	1	92	56	78	84	114	2052873300	903541312	320025666	1525669985	R	F	N		XR Controller	6CBED730	BC9E36AC	888B2CCC			
10	DepthBothPlanes	CUED	1	45	315	3	3	141	56	78	84	114	134411208	831936687	1960271134	1884520081	R	F	N		XR Controller	CB090948	BC9E36AC	888B2CCC			
11	DepthBothPlanes	UNCUED	0	135	225	5	1	96	56	78	84	114	1347480417	594099227	1115075519	580596432	R	N	N		XR Controller	F088AE08	BC9E36AC	97C666DC			
12	DepthBothPlanes	CUED	0	135	135	7	7	86	56	78	84	114	818087552	596546014	708584794	1972653016	R	F	N		XR Controller	6CBED730	BC9E36AC	888B2CCC			
13	DepthBothPlanes	UNCUED	1	180	0	2	6	79	56	78	84	114	1331655931	1562887727	1122119365	242732472	G	N	N		XR Controller	67DD8480	083E616C	97C666DC			
14	DepthBothPlanes	CUED	0	225	225	5	1	74	56	78	84	114	228119833	596720458	249674833	900654144	R	N	N		XR Controller	6CBED730	BC9E36AC	97C666DC			
15	DepthBothPlanes	UNCUED	0	45	45	1	9	79	56	78	84	114	803904887	1625888010	1112592238	1311433171	G	N	N		XR Controller	F088AE08	083E616C	97C666DC			
16	DepthBothPlanes	CUED	0	90	90	0	8	94	56	78	84	114	231989909	1440372487	2031168063	825884446	R	F	N		XR Controller	6CBED730	BC9E36AC	888B2CCC			
17	DepthBothPlanes	UNCUED	1	45	315	3	3	162	56	78	84	114	1828831632	1518105272	509405543	1501871651	R	N	N		XR Controller	67DD8480	BC9E36AC	97C666DC			
18	DepthBothPlanes	CUED	1	180	315	3	3	92	56	78	84	114	1656897999	802402332	460273743	1113063579	G	F	N		XR Controller	CB090948	083E616C	888B2CCC			
19	DepthBothPlanes	CUED	1	90	90	0	8	77	56	78	84	114	350078749	958093131	519040926	930061899	G	N	N		XR Controller	CB090948	083E616C	97C666DC			
20	DepthBothPlanes	CUED	1	90	90	0	8	68	56	78	84	114	2111349566	1768458117	1950430650	1905186177	R	F	N		XR Controller	CB090948	BC9E36AC	888B2CCC			
21	DepthBothPlanes	UNCUED	0	225	225	5	1	97	56	78	84	114	128525275	948875192	1254453991	2020196591	G	N	N		XR Controller	F088AE08	083E616C	97C666DC			
22	DepthBothPlanes	UNCUED	0	315	180	6	4	76	56	78	84	114	465793146	1634656802	1862874407	2049985382	R	F	N		XR Controller	F088AE08	BC9E36AC	888B2CCC			
23	DepthBothPlanes	UNCUED	0	90	225	5	1	89	56	78	84	114	1868835911	1297561009	1142799272	103651617	R	F	N		XR Controller	F088AE08	BC9E36AC	888B2CCC			
24	DepthBothPlanes	UNCUED	1	135	45	1	9	77	56	78	84	114	578454766	2097571345	1277361188	1635724621	R	N	N		XR Controller	67DD8480	BC9E36AC	97C666DC			
25	DepthBothPlanes	CUED	0	225	0	2	6	89	56	78	84	114	21819997	2020584087	1993793179	1523712609	G	F	N		XR Controller	6CBED730	083E616C	888B2CCC			
26	DepthBothPlanes	CUED	1	270	270	4	2	73	56	78	84	114	1640562860	831538906	462767188	1063474720	R	F	N		XR Controller	CB090948	BC9E36AC	888B2CCC			
27	DepthBothPlanes	UNCUED	1	270	135	7	7	79	56	78	84	114	771632273	1672191686	43261534	1527802662	G	F	N		XR Controller	67DD8480	083E616C	888B2CCC			
28	DepthBothPlanes	UNCUED	1	45	90	0	8	75	56	78	84	114	1716392932	1864793020	1348311774	651058766	R	F	N		XR Controller	67DD8480	BC9E36AC	888B2CCC			
29	DepthBothPlanes	UNCUED	1	225	45	1	9	85	56	78	84	114	31143690	2010691740	958326341	1279291667	R	N	N		XR Controller	67DD8480	BC9E36AC	97C666DC			
30	DepthBothPlanes	UNCUED	0	45	45	1	9	76	56	78	84	114	1191406952	1650830065	638957751	405646697	G	F	N		XR Controller	F088AE08	083E616C	888B2CCC			
31	DepthBothPlanes	UNCUED	0	0	0	2	6	89	56	78	84	114	663714095	1438014663	421514909	1801752294	G	N	N		XR Controller	F088AE08	083E616C	97C666DC			
32	DepthBothPlanes	UNCUED	1	225	315	3	3	92	56	78	84	114	537929539	1167266785	75646508	831028228	G	N	N		XR Controller	67DD8480	083E616C	97C666DC			
33	DepthBothPlanes	CUED	1	315	315	3	3	98	56	78	84	114	1412466337	2021816582	980847475	132694846	G	N	N		XR Controller	CB090948	083E616C	97C666DC			
34	DepthBothPlanes	UNCUED	1	0	0	2	6	92	56	78	84	114	1071587694	769509477	411735411	330261559	G	N	N		XR Controller	67DD8480	083E616C	97C666DC			
35	DepthBothPlanes	CUED	1	0	315	3	3	92	56	78	84	114	1215913010	208098377	1833333291	1217163082	R	F	N		XR Controller	CB090948	BC9E36AC	888B2CCC			
36	DepthBothPlanes	CUED	1	225	270	4	2	102	56	78	84	114	1065517033	805673731	1103641245	1565619574	G	N	N		XR Controller	CB090948	083E616C	97C666DC			
37	DepthBothPlanes	UNCUED	1	90	270	4	2	84	56	78	84	114	957452524	1779213843	906504500	817013914	G	N	N		XR Controller	67DD8480	083E616C	97C666DC			
38	DepthBothPlanes	CUED	1	45	45	1	9	141	56	78	84	114	774123981	207360671	1957691057	2124195571	G	F	N		XR Controller	CB090948	083E616C	888B2CCC			
39	DepthBothPlanes	CUED	0	315	270	4	2	142	56	78	84	114	1148310934	851475819	1728286631	1776306333	G	F	N		XR Controller	6CBED730	083E616C	888B2CCC			
40	DepthBothPlanes	CUED	0	0	90	0	8	94	56	78	84	114	2092618458	459973625	1424523753	1468000771	G	N	N		XR Controller	6CBED730	083E616C	97C666DC			
41	DepthBothPlanes	CUED	1	180	135	7	7	95	56	78	84	114	642302887	1841583479	1449313803	789239262	R	F	N		XR Controller	CB090948	BC9E36AC	888B2CCC			
42	DepthBothPlanes	CUED	1	0	0	2	6	76	56	78	84	114	1153319502	89151916	1931890772	1497075586	R	N	N		XR Controller	CB090948	BC9E36AC	97C666DC			
43	DepthBothPlanes	CUED	0	0	0	2	6	81	56	78	84	114	1626720218	932252466	506749904	1028700497	R	N	N		XR Controller	6CBED730	BC9E36AC	97C666DC			
44	DepthBothPlanes	UNCUED	1	315	315	3	3	89	56	78	84	114	725757589	2077295694	699520913	2039192868	G	F	N		XR Controller	67DD8480	083E616C	888B2CCC			
45	DepthBothPlanes	CUED	1	180	180	6	4	121	56	78	84	114	2121001109	1770031999	786990587	1710236097	R	N	N		XR Controller	CB090948	BC9E36AC	97C666DC			
46	DepthBothPlanes	UNCUED	1	0	45	1	9	75	56	78	84	114	33812987	1466858067	1133601847	219599110	G	F	N		XR Controller	67DD8480	083E616C	888B2CCC			
