Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	DepthBaseline	CUED	1	270	270	4	2	157	56	78	84	114	145417776	1735496153	1051986104	51479037	R	N	N		XR Controller	CB090948	BC9E36AC	E4FFF864			
1	DepthBaseline	CUED	0	45	45	1	9	96	56	78	84	114	1272137792	1267115547	1210981743	1946425417	R	F	N		XR Controller	6CBED730	BC9E36AC	B7EB8364			
2	DepthBaseline	UNCUED	0	315	270	4	2	149	56	78	84	114	1953302247	495594477	1623800617	982393199	R	N	N		XR Controller	F088AE08	BC9E36AC	E4FFF864			
3	DepthBaseline	UNCUED	0	180	180	6	4	96	56	78	84	114	177404377	136429547	1449746842	2136316989	G	N	N		XR Controller	F088AE08	083E616C	E4FFF864			
4	DepthBaseline	CUED	1	135	135	7	7	214	56	78	84	114	42793378	1182903152	581416340	1962114138	G	F	N		XR Controller	CB090948	083E616C	B7EB8364			
5	DepthBaseline	UNCUED	0	45	45	1	9	115	56	78	84	114	1886391560	20412559	997989443	1105087878	R	N	N		XR Controller	F088AE08	BC9E36AC	E4FFF864			
6	DepthBaseline	UNCUED	0	270	270	4	2	100	56	78	84	114	1659171768	511250826	1304335937	1686105495	G	N	N		XR Controller	F088AE08	083E616C	E4FFF864			
7	DepthBaseline	UNCUED	0	0	45	1	9	103	56	78	84	114	843151918	640402516	1619853272	918417947	G	F	N		XR Controller	F088AE08	083E616C	B7EB8364			
8	DepthBaseline	UNCUED	0	0	135	7	7	141	56	78	84	114	1005180417	323315995	1636668329	750609582	G	N	N		XR Controller	F088AE08	083E616C	E4FFF864			
9	DepthBaseline	CUED	0	135	270	4	2	101	56	78	84	114	182588806	1461260153	1020748751	1246627791	R	N	N		XR Controller	6CBED730	BC9E36AC	E4FFF864			
10	DepthBaseline	CUED	0	315	225	5	1	123	56	78	84	114	905097098	1926280629	1788905695	1872918828	G	F	N		XR Controller	6CBED730	083E616C	B7EB8364			
11	DepthBaseline	CUED	0	135	-1	-1	-1	36	56	78	84	114	205284951	2105399064	1855918547	1017739158	G	N	N		XR Controller	6CBED730	083E616C	E4FFF864			
12	DepthBaseline	UNCUED	0	180	90	0	8	103	56	78	84	114	111172150	1058000576	1194324997	133713018	R	F	N		XR Controller	F088AE08	BC9E36AC	B7EB8364			
13	DepthBaseline	CUED	0	270	45	1	9	88	56	78	84	114	1423041987	1451236124	1031214749	756817630	R	N	N		XR Controller	6CBED730	BC9E36AC	E4FFF864			
14	DepthBaseline	CUED	1	135	90	0	8	117	56	78	84	114	230691081	665842162	263831643	723705151	G	N	N		XR Controller	CB090948	083E616C	E4FFF864			
15	DepthBaseline	UNCUED	1	315	270	4	2	83	56	78	84	114	225142826	977176017	122597741	23568681	R	F	N		XR Controller	67DD8480	BC9E36AC	B7EB8364			
16	DepthBaseline	UNCUED	1	45	45	1	9	102	56	78	84	114	1181378401	1288668401	991177029	1557997516	R	N	N		XR Controller	67DD8480	BC9E36AC	E4FFF864			
17	DepthBaseline	CUED	1	225	135	7	7	95	56	78	84	114	1264342104	71680697	1019952198	2029897556	G	F	N		XR Controller	CB090948	083E616C	B7EB8364			
18	DepthBaseline	UNCUED	1	180	225	5	1	191	56	78	84	114	1809598020	880004682	1743166254	1713782490	G	N	N		XR Controller	67DD8480	083E616C	E4FFF864			
19	DepthBaseline	UNCUED	0	45	90	0	8	96	56	78	84	114	1774872655	55602635	480961694	591296156	R	F	N		XR Controller	F088AE08	BC9E36AC	B7EB8364			
20	DepthBaseline	CUED	1	180	180	6	4	105	56	78	84	114	361280300	1246147413	974945780	2113498122	G	F	N		XR Controller	CB090948	083E616C	B7EB8364			
21	DepthBaseline	CUED	0	315	315	3	3	96	56	78	84	114	337381739	1317396072	704628621	2092322733	R	N	N		XR Controller	6CBED730	BC9E36AC	E4FFF864			
22	DepthBaseline	CUED	1	225	90	0	8	100	56	78	84	114	1347771698	309801263	263197957	626849951	R	N	N		XR Controller	CB090948	BC9E36AC	E4FFF864			
23	DepthBaseline	UNCUED	0	45	45	1	9	87	56	78	84	114	776928935	1727851438	867738411	629241188	G	N	N		XR Controller	F088AE08	083E616C	E4FFF864			
24	DepthBaseline	UNCUED	0	315	90	0	8	87	56	78	84	114	1074689048	1024944442	2013845474	739436636	G	F	N		XR Controller	F088AE08	083E616C	B7EB8364			
25	DepthBaseline	UNCUED	1	135	135	7	7	89	56	78	84	114	1301030056	1221383350	68451791	1738417926	G	N	N		XR Controller	67DD8480	083E616C	E4FFF864			
26	DepthBaseline	UNCUED	1	225	270	4	2	90	56	78	84	114	1182653868	324741696	845766073	307418311	G	N	N		XR Controller	67DD8480	083E616C	E4FFF864			
27	DepthBaseline	UNCUED	0	225	270	4	2	94	56	78	84	114	814381172	1049996167	1943021398	1187531536	R	N	N		XR Controller	F088AE08	BC9E36AC	E4FFF864			
28	DepthBaseline	CUED	1	180	225	5	1	86	56	78	84	114	696583723	430776663	1689995999	1664230291	G	N	N		XR Controller	CB090948	083E616C	E4FFF864			
29	DepthBaseline	CUED	1	90	90	0	8	91	56	78	84	114	1339147915	836996222	1268243278	418684579	R	N	N		XR Controller	CB090948	BC9E36AC	E4FFF864			
30	DepthBaseline	UNCUED	0	270	270	4	2	75	56	78	84	114	766712510	1192148801	1466815493	326827835	R	N	N		XR Controller	F088AE08	BC9E36AC	E4FFF864			
31	DepthBaseline	UNCUED	1	315	90	0	8	82	56	78	84	114	1563292700	1688499688	1204555818	471632184	G	F	N		XR Controller	67DD8480	083E616C	B7EB8364			
32	DepthBaseline	UNCUED	1	225	270	4	2	82	56	78	84	114	1986508972	1362999631	35474142	2090837368	G	F	N		XR Controller	67DD8480	083E616C	B7EB8364			
33	DepthBaseline	UNCUED	0	135	270	4	2	71	56	78	84	114	1147179389	2081640171	1557876613	982960744	R	F	N		XR Controller	F088AE08	BC9E36AC	B7EB8364			
34	DepthBaseline	UNCUED	1	0	270	4	2	84	56	78	84	114	1482689140	1059046571	197730837	1743211736	G	F	N		XR Controller	67DD8480	083E616C	B7EB8364			
35	DepthBaseline	UNCUED	1	90	90	0	8	85	56	78	84	114	67869542	787216968	290186616	426602621	G	N	N		XR Controller	67DD8480	083E616C	E4FFF864			
36	DepthBaseline	UNCUED	0	135	135	7	7	82	56	78	84	114	787682193	344640361	213144909	462393428	R	N	N		XR Controller	F088AE08	BC9E36AC	E4FFF864			
37	DepthBaseline	CUED	1	0	270	4	2	69	56	78	84	114	39679614	1740201494	2068364114	222197393	G	N	N		XR Controller	CB090948	083E616C	E4FFF864			
38	DepthBaseline	CUED	1	90	90	0	8	96	56	78	84	114	1633373594	201971515	1660422857	1611534383	G	N	N		XR Controller	CB090948	083E616C	E4FFF864			
39	DepthBaseline	CUED	0	0	90	0	8	82	56	78	84	114	1825829631	934081375	638880933	157285667	G	N	N		XR Controller	6CBED730	083E616C	E4FFF864			
40	DepthBaseline	CUED	1	90	90	0	8	113	56	78	84	114	1149384126	908478888	1106138054	617220862	R	F	N		XR Controller	CB090948	BC9E36AC	B7EB8364			
41	DepthBaseline	CUED	1	270	270	4	2	86	56	78	84	114	982949456	348095829	483113228	377466723	G	N	N		XR Controller	CB090948	083E616C	E4FFF864			
42	DepthBaseline	CUED	0	90	270	4	2	98	56	78	84	114	1518250022	1148931432	1800124014	853361911	G	N	N		XR Controller	6CBED730	083E616C	E4FFF864			
43	DepthBaseline	UNCUED	1	180	90	0	8	95	56	78	84	114	185004215	1711825961	2109832972	942517303	R	N	N		XR Controller	67DD8480	BC9E36AC	E4FFF864			
44	DepthBaseline	CUED	1	90	90	0	8	76	56	78	84	114	271945571	1287666511	611664319	1920687080	G	F	N		XR Controller	CB090948	083E616C	B7EB8364			
45	DepthBaseline	CUED	1	0	0	2	6	146	56	78	84	114	2051722869	25226922	1544377909	2023097796	R	N	N		XR Controller	CB090948	BC9E36AC	E4FFF864			
46	DepthBaseline	CUED	1	135	45	1	9	192	56	78	84	114	1358595014	2100494443	1744118764	609771134	R	F	N		XR Controller	CB090948	BC9E36AC	B7EB8364			
47	DepthBaseline	CUED	0	270	270	4	2	84	56	78	84	114	1121906040	1787674182	1949032902	1486733433	R	F	N		XR Controller	6CBED730	BC9E36AC	B7EB8364			
48	DepthBaseline	UNCUED	1	225	270	4	2	107	56	78	84	114	2003052961	261428342	332484663	810982627	R	N	N		XR Controller	67DD8480	BC9E36AC	E4FFF864			
49	DepthBaseline	CUED	1	315	270	4	2	81	56	78	84	114	1167178240	968473161	1046948100	1074946158	G	N	N		XR Controller	CB090948	083E616C	E4FFF864			
50	DepthBaseline	CUED	0	135	135	7	7	100	56	78	84	114	1148917627	1665529416	1777375835	601848114	R	F	N		XR Controller	6CBED730	BC9E36AC	B7EB8364			
