Trial	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	EndKey	Device	MkHash32	ColorHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes
0	CUED	0	225	270	4	2	996	56	78	84	114	1453091368	713084591	1398534559	1785427305	R	Space	Keyboard	6CBED730	BC9E36AC		
1	CUED	1	0	90	0	8	467	56	78	84	114	1145102367	451116175	1051398139	1627270377	R	Space	Keyboard	CB090948	BC9E36AC		
2	CUED	0	0	90	0	8	750	56	78	84	114	1673116976	1631631590	589404003	336393162	R	Space	Keyboard	6CBED730	BC9E36AC		
3	UNCUED	1	315	90	0	8	315	56	78	84	114	491978860	214362137	1460269906	1472422432	R	Space	Keyboard	67DD8480	BC9E36AC		
4	UNCUED	1	135	90	0	8	488	56	78	84	114	954677891	219884705	1562196221	1589337111	G	Space	Keyboard	67DD8480	083E616C		
5	UNCUED	1	135	90	0	8	628	56	78	84	114	753497734	762719639	395509094	939909451	R	Space	Keyboard	67DD8480	BC9E36AC		
6	CUED	1	135	270	4	2	324	56	78	84	114	1216160735	1484768910	974225429	168144349	G	Space	Keyboard	CB090948	083E616C		
7	CUED	0	90	270	4	2	257	56	78	84	114	592812233	758049174	104074046	962366435	R	Space	Keyboard	6CBED730	BC9E36AC		
8	UNCUED	1	45	270	4	2	1217	56	78	84	114	490407465	644549369	119994550	216964180	R	Space	Keyboard	67DD8480	BC9E36AC		
9	CUED	1	45	270	4	2	584	56	78	84	114	2140287026	976958018	1812654606	1768420827	G	Space	Keyboard	CB090948	083E616C		
10	UNCUED	0	270	-1	-1	-1	-1	56	78	84	114	371253923	1735327289	760532638	364837998	R	ABORT	OnDisable	00000000	00000000		
