Trial	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	SwapType	EndKey	Device	MkHash32	ColorHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes
0	CUED	1	180	45	1	9	98	56	78	84	114	1478130092	1121102563	647223786	697782617	R	N		XR Controller	CB090948	BC9E36AC		
1	CUED	0	135	135	7	7	102	56	78	84	114	2127109771	840080919	533371211	477841031	R	N		XR Controller	6CBED730	BC9E36AC		
2	CUED	1	315	0	2	6	83	56	78	84	114	759630060	1747130306	205685472	1937455574	G	N		XR Controller	CB090948	083E616C		
3	UNCUED	0	90	90	0	8	168	56	78	84	114	2087810988	1018457716	266519459	1693849517	G	N		XR Controller	F088AE08	083E616C		
4	UNCUED	1	90	45	1	9	625	56	78	84	114	1583823205	1415010762	1407889896	925204089	R	N		XR Controller	67DD8480	BC9E36AC		
5	CUED	0	45	45	1	9	75	56	78	84	114	1076667773	2137939932	1192004200	300401496	G	N		XR Controller	6CBED730	083E616C		
6	CUED	0	225	225	5	1	79	56	78	84	114	1607483451	1417430281	1239258558	2098381739	G	N		XR Controller	6CBED730	083E616C		
7	CUED	0	180	45	1	9	174	56	78	84	114	1924194351	1034696025	1554692954	876894420	R	N		XR Controller	6CBED730	BC9E36AC		
8	CUED	0	315	225	5	1	73	56	78	84	114	215852568	1143687262	266434954	506764070	G	N		XR Controller	6CBED730	083E616C		
9	UNCUED	0	225	225	5	1	71	56	78	84	114	1118176898	64050187	1757863456	824254330	R	N		XR Controller	F088AE08	BC9E36AC		
10	UNCUED	1	315	0	2	6	68	56	78	84	114	588087755	591668899	283747548	1503739725	R	N		XR Controller	67DD8480	BC9E36AC		
11	CUED	0	315	45	1	9	104	56	78	84	114	662180788	1077702865	331176115	1960304857	R	N		XR Controller	6CBED730	BC9E36AC		
12	CUED	1	135	90	0	8	76	56	78	84	114	1725331857	623677925	359062020	1873918405	G	N		XR Controller	CB090948	083E616C		
13	UNCUED	0	315	270	4	2	67	56	78	84	114	1130503344	2050383684	1661923580	698515098	R	N		XR Controller	F088AE08	BC9E36AC		
14	UNCUED	1	135	90	0	8	62	56	78	84	114	762565285	1728824817	1248537844	978759085	G	N		XR Controller	67DD8480	083E616C		
15	UNCUED	1	225	90	0	8	99	56	78	84	114	776749135	1720530174	1377998197	285987381	R	N		XR Controller	67DD8480	BC9E36AC		
16	UNCUED	0	270	270	4	2	65	56	78	84	114	420114721	1323515339	1359896841	563056414	G	N		XR Controller	F088AE08	083E616C		
17	CUED	0	0	0	2	6	72	56	78	84	114	1654898639	201224802	1011129406	414517697	G	N		XR Controller	6CBED730	083E616C		
18	CUED	1	135	90	0	8	71	56	78	84	114	1807665716	1926682806	2087915877	834668483	R	N		XR Controller	CB090948	BC9E36AC		
19	UNCUED	1	315	270	4	2	70	56	78	84	114	508587717	407560664	1179230106	243522830	G	N		XR Controller	67DD8480	083E616C		
20	UNCUED	0	225	225	5	1	77	56	78	84	114	1031195334	1889345322	1378960154	986095577	G	N		XR Controller	F088AE08	083E616C		
21	CUED	0	225	315	3	3	94	56	78	84	114	503492368	1912510647	407825357	1362858405	R	N		XR Controller	6CBED730	BC9E36AC		
22	CUED	0	270	270	4	2	73	56	78	84	114	1516333352	1587327015	1360095686	1117176878	G	N		XR Controller	6CBED730	083E616C		
23	UNCUED	1	90	270	4	2	75	56	78	84	114	352299258	1997879197	236528375	289199446	G	N		XR Controller	67DD8480	083E616C		
24	UNCUED	0	135	90	0	8	68	56	78	84	114	1740347235	2147146645	580473524	1003888889	G	N		XR Controller	F088AE08	083E616C		
25	CUED	1	180	45	1	9	95	56	78	84	114	77924790	1701307800	1264502018	1010213012	G	N		XR Controller	CB090948	083E616C		
26	UNCUED	0	315	0	2	6	60	56	78	84	114	2118445008	424283514	2095047398	1338723633	G	N		XR Controller	F088AE08	083E616C		
27	UNCUED	1	45	315	3	3	112	56	78	84	114	2067145430	1354705273	353249633	2060022137	R	N		XR Controller	67DD8480	BC9E36AC		
28	CUED	1	45	90	0	8	108	56	78	84	114	1933755671	820230156	623376592	387451481	R	N		XR Controller	CB090948	BC9E36AC		
29	CUED	0	270	270	4	2	77	56	78	84	114	19823136	186096737	1861469343	148687100	R	N		XR Controller	6CBED730	BC9E36AC		
30	CUED	1	45	45	1	9	75	56	78	84	114	55455677	2140854662	1895271312	1945898011	G	N		XR Controller	CB090948	083E616C		
31	UNCUED	0	135	270	4	2	67	56	78	84	114	302158681	1138340473	689944189	615685143	R	N		XR Controller	F088AE08	BC9E36AC		
32	UNCUED	0	0	0	2	6	90	56	78	84	114	1987322104	1115814918	1641363307	1063649000	G	N		XR Controller	F088AE08	083E616C		
33	CUED	0	0	90	0	8	363	56	78	84	114	978666844	852186269	79600655	1874187901	R	N		XR Controller	6CBED730	BC9E36AC		
34	UNCUED	1	135	0	2	6	66	56	78	84	114	184535717	1801823607	2119649917	632616831	R	N		XR Controller	67DD8480	BC9E36AC		
35	CUED	0	180	0	2	6	72	56	78	84	114	1645737553	1009932893	268610518	1489410811	G	N		XR Controller	6CBED730	083E616C		
36	UNCUED	1	0	225	5	1	93	56	78	84	114	552414961	1438132126	791388004	416039404	R	N		XR Controller	67DD8480	BC9E36AC		
37	UNCUED	0	45	45	1	9	182	56	78	84	114	1356982050	152196232	1197159574	1023619521	G	N		XR Controller	F088AE08	083E616C		
38	UNCUED	1	270	315	3	3	81	56	78	84	114	1377463729	638502236	112098906	2060063879	G	N		XR Controller	67DD8480	083E616C		
