Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	DepthSwapCtrl_005m	UNCUED	1	225	225	5	1	154	56	78	84	114	805395341	1818105011	435164958	339328034	R	F	N		XR Controller	67DD8480	0883654C	B7EB8364			
1	DepthSwapCtrl_005m	UNCUED	1	270	270	4	2	104	56	78	84	114	150035469	1087424164	1324784509	1183300717	R	F	N		XR Controller	67DD8480	0883654C	B7EB8364			
2	DepthSwapCtrl_005m	UNCUED	1	315	0	2	6	140	56	78	84	114	892138218	562556071	751678899	1938044142	R	N	N		XR Controller	67DD8480	0883654C	E4FFF864			
3	DepthSwapCtrl_005m	CUED	1	0	90	0	8	79	56	78	84	114	1285026023	1288103530	1976280216	1837891518	R	F	ZdB		XR Controller	7BBB5D28	0883654C	32DDF264			
4	DepthSwapCtrl_005m	UNCUED	0	270	90	0	8	80	56	78	84	114	331117551	1210892518	1677135597	359489398	R	F	N		XR Controller	F088AE08	0883654C	B7EB8364			
5	DepthSwapCtrl_005m	UNCUED	0	90	90	0	8	67	56	78	84	114	1704472103	987541754	1011533152	33976716	R	N	ZdB		XR Controller	1CE20318	0883654C	6D1114C4			
6	DepthSwapCtrl_005m	CUED	0	135	0	2	6	80	56	78	84	114	689922808	2146274219	1683945552	1018884272	R	F	ZdB		XR Controller	CEA60E30	0883654C	32DDF264			
7	DepthSwapCtrl_005m	CUED	1	90	90	0	8	73	56	78	84	114	1675067583	301584233	2059404387	1098228519	R	N	ZdB		XR Controller	7BBB5D28	0883654C	6D1114C4			
8	DepthSwapCtrl_005m	CUED	0	45	180	6	4	100	56	78	84	114	574896728	1544191493	2042183824	59039089	R	N	ZdB		XR Controller	CEA60E30	0883654C	6D1114C4			
9	DepthSwapCtrl_005m	UNCUED	0	270	270	4	2	78	56	78	84	114	1036609134	1931055570	1607774041	1025948100	R	F	ZdA		XR Controller	1CE20318	0883654C	A3A93944			
10	DepthSwapCtrl_005m	UNCUED	1	0	0	2	6	87	56	78	84	114	120317421	270566471	781557385	1238334734	R	N	ZdA		XR Controller	E039A330	0883654C	FC45CDE4			
11	DepthSwapCtrl_005m	CUED	1	225	45	1	9	99	56	78	84	114	633167261	2088441534	505586204	1466180740	R	F	ZdB		XR Controller	7BBB5D28	0883654C	32DDF264			
