Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	LateralShiftDir	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	SubfieldSwap_CatekExact_v1	UNCUED	0	315	315	3	3	151	68	95	102	138	1545238996	1282753838	313398453	894256585	G	N	N			XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
1	SubfieldSwap_CatekExact_v1	UNCUED	1	180	135	7	7	75	68	95	102	138	291511863	1719857063	1928032247	431367871	R	N	Da			XR Controller	4E483D25	12A26044	C06EAC7C			
2	SubfieldSwap_CatekExact_v1	UNCUED	0	315	315	3	3	77	68	95	102	138	1177963270	1570587035	373309533	1362344671	G	N	N			XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
3	SubfieldSwap_CatekExact_v1	UNCUED	0	225	45	1	9	172	68	95	102	138	1277198117	1565838439	981232044	2018478057	R	N	D			XR Controller	DF27312D	0CCFD9A4	C06EAC7C			
4	SubfieldSwap_CatekExact_v1	CUED	0	90	90	0	8	62	68	95	102	138	307192529	140270435	1940622137	277921968	R	N	D			XR Controller	8BF1C825	0CCFD9A4	C06EAC7C			
5	SubfieldSwap_CatekExact_v1	CUED	0	45	0	2	6	64	68	95	102	138	2135415035	2053568061	73676304	2115821687	G	N	Db			XR Controller	4478E765	C96A68AC	C06EAC7C			
6	SubfieldSwap_CatekExact_v1	UNCUED	0	225	225	5	1	69	68	95	102	138	1411400778	276630059	1983341882	226881222	G	N	Db			XR Controller	C63C3155	C96A68AC	C06EAC7C			
7	SubfieldSwap_CatekExact_v1	UNCUED	0	0	0	2	6	880	68	95	102	138	484275630	908809575	404322174	59110994	G	N	N			XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
8	SubfieldSwap_CatekExact_v1	CUED	1	135	135	7	7	80	68	95	102	138	1257249090	1349451728	1691118717	1052926712	R	N	D			XR Controller	8746324D	0CCFD9A4	C06EAC7C			
9	SubfieldSwap_CatekExact_v1	UNCUED	1	270	315	3	3	64	68	95	102	138	1087515800	1283175611	1565590255	1654014905	G	N	N			XR Controller	06CF5C65	BBE350AC	C06EAC7C			
10	SubfieldSwap_CatekExact_v1	UNCUED	0	90	90	0	8	117	68	95	102	138	1509988492	1845459617	696682280	1269750334	G	N	N			XR Controller	C9F1B22D	BBE350AC	C06EAC7C			
11	SubfieldSwap_CatekExact_v1	UNCUED	1	45	-1	-1	-1	1496	68	95	102	138	197780688	927341884	237592212	1548472940	G	N	Da			XR Controller	4E483D25	52D3C1E4	C06EAC7C			
12	SubfieldSwap_CatekExact_v1	CUED	1	45	-1	-1	-1	-1	68	95	102	138	1688655475	1450659175	726215034	1000688850	R	N	D		ABORT	OnApplicationQuit	00000000	00000000	00000000			
