Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	PresentedDurFrames	PresentedDurMs	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	LateralShiftDir	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
0	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	135	135	7	7	130	68	95	107	163	12	133.333	43739115	836969817	534931831	1055374408	R	N	N			XR Controller	EF1D8783	2F6FECFB	E9223BFB			
1	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	270	45	1	9	79	68	95	117	163	22	244.444	561534316	221143381	1288306916	1616724389	R	N	D			XR Controller	0FE1E8D7	D81A967B	E9223BFB			
2	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	135	135	7	7	72	68	95	127	163	32	355.556	2046125181	1487242084	1052077043	130910561	R	N	Da			XR Controller	6DA6CE8B	18E36AFB	E9223BFB			
3	SubfieldSwap_AperSweep_Ap25_v1	CUED	0	0	0	2	6	61	68	95	117	163	22	244.444	1036359829	21092609	1038454895	237751977	R	N	Db			XR Controller	F5731947	420BC5FB	E9223BFB			
4	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	0	315	270	4	2	68	68	95	101	163	6	66.667	1867478235	855572095	237978291	344294402	G	N	Da			XR Controller	656F32DF	71FFFA3B	E9223BFB			
5	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	45	45	1	9	117	68	95	103	163	8	88.889	1264260043	1513185395	1972382244	1974472662	G	N	Db			XR Controller	0812CCBB	CDC3FBBB	E9223BFB			
6	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	135	90	0	8	64	68	95	97	163	2	22.222	1681914345	2075406005	1748072665	887729676	R	N	D			XR Controller	F6ADA61F	D81A967B	E9223BFB			
7	SubfieldSwap_AperSweep_Ap25_v1	CUED	0	270	90	0	8	56	68	95	101	163	6	66.667	1393893378	1211354895	1190701066	545656075	R	N	Db			XR Controller	8AF9B5E7	420BC5FB	E9223BFB			
8	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	315	315	3	3	74	68	95	103	163	8	88.889	540448079	1723538984	1567907580	73761675	G	N	Db			XR Controller	0812CCBB	CDC3FBBB	E9223BFB			
9	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	315	270	4	2	68	68	95	127	163	32	355.556	784517500	480504783	1277939190	1167584296	G	N	Db			XR Controller	1B68230B	CDC3FBBB	E9223BFB			
10	SubfieldSwap_AperSweep_Ap25_v1	CUED	0	135	135	7	7	58	68	95	101	163	6	66.667	1372504716	1805674632	1993854513	554157569	G	N	D			XR Controller	C885DCF7	FF1A6CBB	E9223BFB			
11	SubfieldSwap_AperSweep_Ap25_v1	CUED	0	225	225	5	1	64	68	95	117	163	22	244.444	170467333	1005060013	618771896	1540784524	R	N	Da			XR Controller	BB7AD3D7	18E36AFB	E9223BFB			
12	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	45	45	1	9	117	68	95	103	163	8	88.889	1245505726	112039557	35008937	1878701426	R	N	D			XR Controller	667B957B	D81A967B	E9223BFB			
13	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	0	0	2	6	64	68	95	101	163	6	66.667	344398966	1536812082	2138476562	131997075	G	N	D			XR Controller	B9D647DF	FF1A6CBB	E9223BFB			
14	SubfieldSwap_AperSweep_Ap25_v1	CUED	0	225	225	5	1	62	68	95	97	163	2	22.222	884536255	1140350385	687339498	1513708397	R	N	N			XR Controller	A00AA63F	2F6FECFB	E9223BFB			
15	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	45	45	1	9	59	68	95	117	163	22	244.444	449147159	683948279	1579593012	1327884559	R	N	N			XR Controller	ECE2069F	2F6FECFB	E9223BFB			
16	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	225	225	5	1	59	68	95	99	163	4	44.444	859232389	2024716271	1692875067	2089762290	G	N	Da			XR Controller	A9D20903	71FFFA3B	E9223BFB			
17	SubfieldSwap_AperSweep_Ap25_v1	CUED	0	45	0	2	6	59	68	95	101	163	6	66.667	1056163300	860687925	222908954	591989848	G	N	N			XR Controller	F4AC1BD7	16FE68BB	E9223BFB			
18	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	180	180	6	4	59	68	95	117	163	22	244.444	344802107	649331907	464614883	859552207	G	N	D			XR Controller	DBB2DDFF	FF1A6CBB	E9223BFB			
19	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	0	0	0	2	6	59	68	95	117	163	22	244.444	2057851313	2119784742	1846982043	1815957705	G	N	Da			XR Controller	874BC8FF	71FFFA3B	E9223BFB			
20	SubfieldSwap_AperSweep_Ap25_v1	CUED	0	45	90	0	8	59	68	95	97	163	2	22.222	363640771	1363524003	1785694661	1741317273	R	N	D			XR Controller	0A4E071F	D81A967B	E9223BFB			
21	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	0	270	270	4	2	57	68	95	127	163	32	355.556	1357184106	1505128669	1634118450	805597851	R	N	Da			XR Controller	D1CAB16B	18E36AFB	E9223BFB			
22	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	45	45	1	9	59	68	95	107	163	12	133.333	1585628362	1017631130	732610235	1187117811	G	N	Db			XR Controller	B6BEE0F3	CDC3FBBB	E9223BFB			
23	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	180	135	7	7	66	68	95	111	163	16	177.778	1267151510	1275579421	1917950621	1458284910	R	N	N			XR Controller	95EA162B	2F6FECFB	E9223BFB			
