#,Cond,DFD,NearColor,RotCfg,TransDepth,TransColor,TransRot,CuedColor,CuedRot,F1_Cuing,F2_TransDepth,F3_TransColor,F4_TransRot,F5_CuedColor
1,CUED,N,R,0,N,R,CCW,R,CCW,CUED,N,R,CCW,R
2,CUED,N,R,1,N,R,CW,R,CW,CUED,N,R,CW,R
3,CUED,N,G,0,N,G,CCW,G,CCW,CUED,N,G,CCW,G
4,CUED,N,G,1,N,G,CW,G,CW,CUED,N,G,CW,G
5,CUED,F,R,0,F,G,CCW,G,CCW,CUED,F,G,CCW,G
6,CUED,F,R,1,F,G,CW,G,CW,CUED,F,G,CW,G
7,CUED,F,G,0,F,R,CCW,R,CCW,CUED,F,R,CCW,R
8,CUED,F,G,1,F,R,CW,R,CW,CUED,F,R,CW,R
9,UNCUED,N,R,0,F,G,CW,R,CCW,UNCUED,F,G,CW,R
10,UNCUED,N,R,1,F,G,CCW,R,CW,UNCUED,F,G,CCW,R
11,UNCUED,N,G,0,F,R,CW,G,CCW,UNCUED,F,R,CW,G
12,UNCUED,N,G,1,F,R,CCW,G,CW,UNCUED,F,R,CCW,G
13,UNCUED,F,R,0,N,R,CW,G,CCW,UNCUED,N,R,CW,G
14,UNCUED,F,R,1,N,R,CCW,G,CW,UNCUED,N,R,CCW,G
15,UNCUED,F,G,0,N,G,CW,R,CCW,UNCUED,N,G,CW,R
16,UNCUED,F,G,1,N,G,CCW,R,CW,UNCUED,N,G,CCW,R
