SessionID,Date,Experiment,N_trials,SwapTypes,DelayedFieldColors,DepthSep_m,EyeCondition,Status,Notes,WriteUps
20251216_113727,2025-12-16,,7,,,,Binocular,DevTest,,
251217_0847,2025-12-17,,8,,,,Binocular,DevTest,,
251217_1101,2025-12-17,,6,,,,Binocular,DevTest,,
251217_1104,2025-12-17,,8,,,,Binocular,DevTest,,
251217_1137,2025-12-17,,12,,,,Binocular,DevTest,,
251217_1308,2025-12-17,,3,,,,Binocular,DevTest,,
251217_1556,2025-12-17,,3,,,,Binocular,DevTest,,
251217_1615,2025-12-17,,3,,,,Binocular,DevTest,,
251217_1629,2025-12-17,,3,,,,Binocular,DevTest,,
251218_1321,2025-12-18,,160,,,,Binocular,DevTest,,
251218_1507,2025-12-18,,6,,G/R,,Binocular,DevTest,,
251218_1514,2025-12-18,,17,,G/R,,Binocular,DevTest,,
251218_1633,2025-12-18,,325,,G/R,,Binocular,DevTest,Early long session (n=325); no exp name,
251219_1102,2025-12-19,,1,,R,,Binocular,DevTest,,
251219_1103,2025-12-19,,1,,R,,Binocular,DevTest,,
251219_1104,2025-12-19,,1,,R,,Binocular,DevTest,,
251219_1105,2025-12-19,,1,,R,,Binocular,DevTest,,
251219_1109,2025-12-19,,1,,R,,Binocular,DevTest,,
251219_1113,2025-12-19,,1,,R,,Binocular,DevTest,,
251219_1114,2025-12-19,,1,,R,,Binocular,DevTest,,
251219_1123,2025-12-19,,1,,R,,Binocular,DevTest,,
251219_1124,2025-12-19,,1,,R,,Binocular,DevTest,,
251219_1127,2025-12-19,,1,,R,,Binocular,DevTest,,
251219_1306,2025-12-19,,1,,R,,Binocular,DevTest,,
251219_1307,2025-12-19,,1,,R,,Binocular,DevTest,,
251219_1313,2025-12-19,,5,,G/R,,Binocular,DevTest,,
251219_1315,2025-12-19,,1,,R,,Binocular,DevTest,,
251219_1326,2025-12-19,,1,,R,,Binocular,DevTest,,
251219_1332,2025-12-19,,1,,R,,Binocular,DevTest,,
251219_1334,2025-12-19,,1,,R,,Binocular,DevTest,,
251219_1340,2025-12-19,,1,,R,,Binocular,DevTest,,
251219_1417,2025-12-19,,1,,R,,Binocular,DevTest,,
251219_1422,2025-12-19,,1,,R,,Binocular,DevTest,,
251219_1425,2025-12-19,,1,,R,,Binocular,DevTest,,
251219_1427,2025-12-19,,1,,R,,Binocular,DevTest,,
251219_1429,2025-12-19,,1,,R,,Binocular,DevTest,,
251219_1439,2025-12-19,,1,,R,,Binocular,DevTest,,
