# VR Dots Session Log (CSV)
# dateTimeUTC,2025-11-13T00:36:00.8016710Z
# deviceModel,Oculus Quest
# deviceName,Quest 3
# appVersion,0.1.4
# simHz,75
# viewDistance_m,2
# metersPerDeg,0.03491013
# apertureRadius_deg,8
# dotSize_deg,0.5
# rotationSpeed_degPerSec,81
# translationSpeed_degPerSec,2.26
# translationSpeed_m_per_s,0.0788969
# translationDuration_ms,300
# delayedOnset_ms,750
# preTranslation_ms,300
# dotsPerField,400
# trialsCount,160

trialIndex,conditionID,headingDeg,onsetFrame,transStartFrame,transEndFrame,totalFrames,seedA0,seedA1,seedB2,seedB3
0,UNCUED,180.0,56,78,100,130,2061917059,2048714395,1205374160,362683614
# mkrows 0,1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2
# colorrows 0,R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G
1,UNCUED,90.0,56,78,100,130,1514110669,2114783179,584282356,673229457
# mkrows 1,1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;3|4|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2
# colorrows 1,R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G
2,CUED,180.0,56,78,100,130,396649665,1197731165,1829648654,1517379514
# mkrows 2,1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|3|4;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2;1|1|2|2
# colorrows 2,R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|K|K;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G;R|R|G|G
3,CUED,0.0,56,78,100,130,1145102367,451116175,1051398139,1627270377
